CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,3_zones,PC_Natural
174228,20075468,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.13880977,43.83624043,-0.547016662,1,-0.163217489
155774,20075562,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.66672557,43.61698612,0.092830838,3,0.116929886
174209,20073368,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.38238044,43.84445068,0.101657981,3,-0.015498867
165327,20075508,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.58201752,43.74321354,0.132350677,3,-0.291192253
158513,20075261,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.52345566,43.64459498,0.147277661,3,-0.204482134
166714,20075707,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.30462424,43.74328428,0.150315741,3,-0.204482134
159198,20075479,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.48444165,43.64933652,0.222037862,4,-0.049716132
160571,20075657,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.37213555,43.66763836,0.241494859,4,-0.360077218
158519,20075406,2007,Avian,Falcons and Hawks,Lice,Ectoparasitic,-79.4535122,43.6383701,0.338680394,4,-0.214960434
174912,20075682,2007,Avian,Falcons and Hawks,Hyppoboscid Flies,Fungal,-79.1146704,43.84120226,-0.134953513,2,-0.497870661
165327,20075508,2007,Avian,Falcons and Hawks,Hyppoboscid Flies,Fungal,-79.58201752,43.74321354,0.132350677,3,-0.046617727
165332,20075678,2007,Avian,Falcons and Hawks,Capillaria,Nematode,-79.52012449,43.7378485,0.186487722,3,-0.107560868
174894,20075117,2007,Avian,Falcons and Hawks,Coccidia,Protozoan,-79.33700803,43.85611106,-0.025868769,2,-0.361370732
176937,20070528,2007,Avian,Falcons and Hawks,West Nile Virus,Viral,-79.36722227,43.88591303,2.93E-05,2,-0.578957899
200204,20075704,2007,Avian,Owls,Lice,Ectoparasitic,-78.35903773,44.13102624,-0.574845338,1,-0.017343755
163274,20075099,2007,Avian,Owls,Lice,Ectoparasitic,-79.67981805,43.71443427,-0.074408774,2,-0.092366898
182448,20075453,2007,Avian,Owls,Lice,Ectoparasitic,-78.68960764,43.91304881,0.135398528,3,0.017796925
168736,20074943,2007,Avian,Owls,Hyppoboscid Flies,Fungal,-79.59999141,43.78334529,-0.037992739,2,-0.094478272
180400,20074316,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-78.71230538,43.88539895,-0.544031781,1,0.301482316
177609,20071522,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.49615409,43.89739046,-0.529859375,1,0.1264245
133250,20070775,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.90598111,43.33200492,-0.217797987,1,-0.21260616
166694,20070066,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54238156,43.75200684,-0.101825028,2,-0.285750491
166694,20070105,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240429,43.7520972,-0.101825028,2,-0.285750491
166694,20070190,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240518,43.75209758,-0.101825028,2,-0.285750491
166694,20070191,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240453,43.7520963,-0.101825028,2,-0.285750491
166694,20070296,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240146,43.7520944,-0.101825028,2,-0.273348744
166694,20070392,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.5424018,43.75209799,-0.101825028,2,0.301482316
166694,20070388,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240201,43.75209581,-0.101825028,2,-0.028078121
166694,20070391,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240102,43.75209597,-0.101825028,2,0.128404223
166694,20070709,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.5424045,43.75209485,-0.101825028,2,-0.046458858
166694,20072548,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54240389,43.75209552,-0.101825028,2,-0.577693212
166694,20073061,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239357,43.75210521,-0.101825028,2,-0.396915227
166694,20073856,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.542397,43.75210479,-0.101825028,2,-0.522867537
166694,20074425,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239594,43.75210778,-0.101825028,2,-0.281956349
166694,20074422,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239714,43.75210029,-0.101825028,2,0.090457723
166694,20074569,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239955,43.75209818,-0.101825028,2,0.158754979
166694,20074568,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239993,43.75210505,-0.101825028,2,-0.425002199
166694,20074565,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239615,43.75210512,-0.101825028,2,0.201176514
166694,20075427,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54239324,43.7521048,-0.101825028,2,-0.532073449
166694,20075637,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54237864,43.75210984,-0.101825028,2,-0.532073449
166013,20072673,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54178545,43.7491377,-0.072646263,2,-0.062026532
166013,20073743,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.54177279,43.74914766,-0.072646263,2,-0.55357685
