y_meters,x_meters,elev,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
777855.4077,1264782.198,1028, , ,L, , , , , , , , , , , 
693984.2813,1304395.795,1236, , ,L, , , , , , , , , , , 
697484.8982,1306269.801,1167, , ,L, , , , , , , , , , , 
743683.887,1292108.285,1069, , ,M, , , , , , , , , , , 
742410.4129,1287472.268,1067, , ,M, , , , , , , , , , , 
729814.0758,1295169.801,1124, , ,M, , , , , , , , , , , 
730776.7212,1294249.051,1135, , ,M, , , , , , , , , , , 
724114.4008,1301861.167,1074, , ,L, , , , , , , , , , , 
721359.4344,1291172.465,1087, , ,L, , , , , , , , , , , 
687754.1521,1304814.282,1311, , ,M,L, , , , , , , , , , 
687076.7994,1304563.216,1349, , ,M,L, , , , , , , , , , 
779999.267,1279714.792,927, , , ,L, , , , , , , , , , 
757567.7133,1277475.428,1071, , ,M,L, , , , , , , , , , 
760545.6189,1283593.095,1074, , ,M,L, , , , , , , , , , 
780141.6287,1244697.247,959, , , , ,L, , , , , , , , , 
741496.8479,1295869.891,1078, , , , ,L, , , , , , , , , 
780662.1606,1217506.388,1249, , , , ,L, , , , , , , , , 
666171.5396,1293358.479,1246, , , , ,L, , , , , , , , , 
730758.3237,1237667.041,1230, , , , ,L, , , , , , , , , 
696172.9316,1322338.267,789, , , , ,M, , , , , , , , , 
750602.2016,1280531.846,1093, , ,M,L,L, , , , , , , , , 
700466.9095,1328210.536,974, , , ,M, ,L, , , , , , , , 
720435.7944,1259118.368,848, , , ,L, ,L, , , , , , , , 
748373.9026,1325999.792,935, , , , ,L,L, , , , , , , , 
707643.251,1301914.492,1092, , , , , ,L, , , , , , , , 
710167.2395,1302283.231,1076, , , , , ,L, , , , , , , , 
693200.0079,1330146.461,1076, , ,L,M,S,M, , , , , , , , 
789075.8449,1196458.664,1088, , , , , ,L, , , , , , , , 
714772.7943,1275086.315,1202, , , , ,L,L, , , , , , , , 
695147.4515,1328551.222,1104, , ,L,S,S,L, , , , , , , , 
793981.445,1180306.526,930, , , , , ,L, , , , , , , , 
710402.147,1319541.048,1063, , , , , ,L, , , , , , , , 
744360.3375,1314221.773,1068, , ,M,L,L, , , , , , , , , 
732669.9781,1272840.611,1527, , ,M,L, , ,L, , , , , , , 
637185.4019,1336779.633,1045, , , , , , ,M, , , , , , , 
785150.0095,1246222.182,929, , , , , , ,L, , , , , , , 
697003.9333,1326822.045,996, , ,L,S,M, ,L, , , , , , , 
802904.684,1229338.289,1089, , , , , , ,L, , , , , , , 
791948.0894,1157607.863,887, , , , , , ,L, , , , , , , 
777021.7879,1217529.819,1173, , , , , , ,L, , , , , , , 
769890.7117,1223389.65,1149, , , , , , ,M, , , , , , , 
755144.5002,1227144.664,1026, , , , , , ,M, , , , , , , 
758161.4355,1229740.394,963, , , , , , ,M, , , , , , , 
755848.6974,1271140.488,1029, ,L, ,L, , ,L, , , , , , , 
770764.2281,1301239.587,883, ,M, ,L,L, ,L, , , , , , , 
685095.0517,1271231.696,1192, , , , , ,L,L, , , , , , , 
651588.0534,1297306.878,1410, , , , , , ,L, , , , , , , 
718511.158,1323555.664,1092, , , , , ,L,L, , , , , , , 
680998.678,1325086.156,1061, , , , , , , ,L, , , , , , 
719921.6421,1310797.302,1111, , , , , , , ,L, , , , , , 
781778.1147,1127709.704,1109, , , , , , , ,L, , , , , , 
782156.9579,1164098.591,826, , , , , , ,L,L, , , , , , 
705050.5949,1315227.888,1068, ,S, ,L, , ,M,L, , , , , , 
705815.3254,1315214.223,1067, ,S, ,L, , ,M,L, , , , , , 
680873.1238,1326799.408,1234, , , , , , , ,L, , , , , , 
663945.7567,1269542.143,1540, , , , , , , ,M, , , , , , 
640269.2343,1297288.965,1283, , , , , , , ,L, , , , , , 
726459.5638,1311124.528,1105, , , , , , , ,M, , , , , , 
648084.4994,1366389.706,831, , , , , , , ,L, , , , , , 
799601.2198,1245132.361,802, , , ,L, , ,L,L, , , , , , 
718589.2645,1332919.012,1091, , , , , , , ,L, , , , , , 
789528.4269,1161787.219,881, , , , , ,L,L,L, , , , , , 
798262.8882,1135037.09,1063, , , , , , , ,L, , , , , , 
794200.7006,1242786.17,978, , ,L,L, , ,L,L,L, , , , , 
