Time,SROBurton_AVG_NHR,SROBurtonERROR_NHR,1SQFireAVG_NHR,1SQFireERROR_NHR,FireAVG_NHR,FireERROR_NHR,SROBurton_AVG_HRD,SROBurtonERROR_HRD,1SQFireAVG_HRD,1SQFireERROR_HRD,FireAVG_HRD,FireERROR_HRD
5,9.2,0.249443826,8.7,0.152752523,10.9,0.1,79.37335859,1.263933891,80.60972222,0.547254535,80.89636364,0.289415992
10,8.7,0.422952585,8.8,0.290593263,10.9,0.233333333,78.89623016,0.806459448,79.3690873,1.03775855,80.27853535,0.518415483
15,8,0.333333333,7.9,0.314466038,10.9,0.233333333,75.97718254,0.669238659,75.70119048,0.947333599,79.78762626,0.672975502
20,7.3,0.334995854,7,0.333333333,11,0.25819889,73.01686508,1.467454536,71.27404762,1.303458075,78.23686869,0.723560015
25,11.7,0.51747249,10.8,0.533333333,14.4,0.221108319,78.12273893,0.54921324,75.64468032,0.891594827,88.95424908,0.518321905
30,10.7,0.395811403,9.5,0.341565026,13.6,0.163299316,77.48575758,0.728540604,73.48780664,1.455756973,87.99450549,0.657561703
35,11.2,0.326598632,9.5,0.372677996,14.1,0.233333333,78.76166667,0.636316659,75.35112554,0.950337813,87.34542125,0.848235942
40,10.7,0.472581563,8.3,0.3,13.8,0.359010987,78.86320346,0.815991553,76.635,1.390920568,86.90655678,0.940011289
45,11.4,0.635959468,8.2,0.326598632,12.9,0.622718056,77.56527473,0.709714377,77.06944444,1.725597797,86.5563703,1.284336229
50,11.5,0.428174419,8.5,0.307318149,13.1,0.504424865,76.9497669,1.017746838,76.34904762,1.529254209,87.43764236,1.342511913
100,11.6,0.653197265,8.9,0.406885187,14.2,0.711805217,80.05364608,0.875229832,76.69235931,0.745208382,93.71067993,1.239628383
150,11.7,0.472581563,10.1,0.433333333,14.9,0.48189441,77.48362526,1.3777594,73.27643939,0.986068801,94.84741058,0.62792361
200,12.1,0.406885187,8.3,0.334995854,15.4,0.339934634,78.29954545,0.924345665,73.33126984,1.168356502,96.10363445,1.142118137
250,11.1,0.504424865,9.2,0.489897949,14,0.447213595,78.65103924,1.165010695,74.17165584,1.119753056,94.03401557,0.732048039
300,12.4,0.371184291,8.8,0.466666667,15.1,0.276887462,79.72435065,0.716447999,72.89386724,1.077675351,94.21647436,0.752571136
350,12.2,0.442216639,8.4,0.635959468,15.2,0.489897949,79.08865801,0.673376822,75.44888889,0.885394579,96.53992943,0.76001477
400,12.6,0.4,8.8,0.4163332,14.6,0.476095229,78.93598901,0.922587453,73.27694805,1.145226544,94.91524184,0.969409883
450,12.2,0.326598632,8.9,0.314466038,15,0.577350269,80.70760906,1.053465479,73.91739899,1.33138568,95.62843434,0.712009888
500,12.3,0.334995854,9.7,0.213437475,15,0.614636297,79.38891109,0.660539809,73.49424242,0.770760862,96.98924507,0.573812281
