CELL_ID,PC_Urban.PC1,PC_Urban.PC2,PC_Natural.PC1,PC_Natural.PC2,PC_Water.PC1,PC_Water.PC2,PC_Park.PC1,PC_Park.PC2,Urban_sitescores,Natural_sitescores,Water_Sitescores,Park_sitescores,PC_Habitat.PC1,PC_Habitat.PC2,Urban_sitescores,Natural_sitescores,Water_Sitescores,Park_sitescores,pdSTD,Logged,Logged+1
89500,-1.016415663,-0.537509387,-0.015498867,0.383327395,-0.069189903,-0.056270234,-0.750942172,-0.427348964,-1.016,-0.0154989,-0.06919,-0.7509422,0.264790729,0.935765646,1.016,0.0154989,0.06919,0.7509422,0,0,1
113432,-0.464411815,0.050794905,0.301482316,-0.049330601,-0.069189903,-0.02287116,0.094286566,-0.151086382,-0.4644,0.3014823,-0.06919,0.0942866,0.287645102,-0.266796443,0.4644,0.3014823,0.06919,0.0942866,42.00833649,1.633552645,2.633552645
119654,-0.689406021,-0.082332664,-0.522867537,-0.060826366,-0.069189903,-0.053796187,-0.412651699,0.110839839,-0.6894,-0.5228675,-0.06919,-0.4126517,-0.404460914,0.76443225,0.6894,0.5228675,0.06919,0.4126517,14.58677697,1.192756321,2.192756321
120331,-0.710070038,-0.121683172,-0.046458858,0.466235324,-0.069189903,-0.170618881,-0.750942172,-0.427348964,-0.7101,-0.0464589,-0.06919,-0.7509422,0.233471588,0.946898404,0.7101,0.0464589,0.06919,0.7509422,3.61624194,0.664288562,1.664288562
125757,0.042115582,-0.220717789,0.101120343,0.418806544,-0.069189903,-0.575936148,-0.130689995,-0.199860165,0.04212,0.1011203,-0.06919,-0.13069,0.160832544,0.095036528,0.04212,0.1011203,0.06919,0.13069,1346.138609,3.129412283,4.129412283
126436,0.112515979,0.041454932,-0.038397178,0.554212748,-0.069189903,-0.440263038,0.097984556,0.069555727,0.1125,-0.0383972,-0.06919,0.0979846,-0.078603207,-0.101380803,0.1125,0.0383972,0.06919,0.0979846,1728.999723,3.238046034,4.238046034
126447,0.028757279,0.194250803,0.16572576,0.014639977,0.883690376,0.29438751,0.090724596,-0.128748213,0.02876,0.1657258,0.88369,0.0907246,0.152772134,-0.189808808,0.02876,0.1657258,0.88369,0.0907246,0,0,1
127112,0.100114291,-0.022113221,0.135621231,0.338196702,-0.069189903,-0.480702343,0.249014675,-0.055393084,0.1001,0.1356212,-0.06919,0.2490147,0.061908746,-0.391734385,0.1001,0.1356212,0.06919,0.2490147,791.7496174,2.899136041,3.899136041
127116,0.240937226,-0.198392684,0.103379718,0.413527611,-0.069189903,-0.56969953,-0.01188515,-0.071333096,0.2409,0.1033797,-0.06919,-0.0118852,0.11173001,-0.043942813,0.2409,0.1033797,0.06919,0.0118852,4630.535969,3.665725041,4.665725041
128479,-0.040596686,0.313317551,-0.201784808,-0.224511083,1.014890311,-0.517414764,0.003015489,0.041015487,-0.0406,-0.2017848,1.01489,0.0030155,-0.207389941,0.067678435,0.0406,0.2017848,1.01489,0.0030155,2810.002368,3.448861211,4.448861211
133250,-0.217797987,-0.103887076,0.093032968,0.048893939,-0.069189903,0.464268205,-0.007574071,-0.082166676,-0.2178,0.093033,-0.06919,-0.0075741,0.106311276,-0.019769893,0.2178,0.093033,0.06919,0.0075741,634.7595997,2.803292927,3.803292927
133257,0.168541284,-0.162246289,0.301482316,-0.049330601,-0.069189903,-0.02287116,0.134264126,-0.088437366,0.1685,0.3014823,-0.06919,0.1342641,0.268132101,-0.310930666,0.1685,0.3014823,0.06919,0.1342641,292.7675582,2.468003833,3.468003833
133259,0.178433583,0.040237793,0.301482316,-0.049330601,0.663997449,-0.02287116,-0.058378145,-0.236613752,0.1784,0.3014823,0.663997,-0.0583781,0.34453558,-0.079713324,0.1784,0.3014823,0.663997,0.0583781,1966.96783,3.294017995,4.294017995
133899,0.097596818,-0.243871458,0.161483915,0.277769649,0.765619833,-0.409312821,0.096115527,-0.045561244,0.0976,0.1614839,0.76562,0.0961155,0.133984681,-0.202758427,0.0976,0.1614839,0.76562,0.0961155,450.0313845,2.654206763,3.654206763
133940,0.017139118,0.332119328,0.301482316,-0.049330601,-0.069189903,-0.02287116,0.057979954,-0.217606477,0.01714,0.3014823,-0.06919,0.05798,0.306469794,-0.227875937,0.01714,0.3014823,0.06919,0.05798,963.831518,2.984451482,3.984451482
135985,0.079111789,0.152679205,0.160211287,0.067908427,-0.069189903,-0.303098085,0.170638992,-0.051287049,0.07911,0.1602113,-0.06919,0.170639,0.111423121,-0.297601619,0.07911,0.1602113,0.06919,0.170639,273.6830348,2.438831837,3.438831837
