UrbanCategory,PC_Urban_min,PC_Urban_max
1,-1.0820120,-0.8505790
2,-0.8505780,-0.6365390
3,-0.6365380,-0.4505680
4,-0.4505670,-0.2797930
5,-0.2797920,-0.1700010
6,-0.1700000,-0.0967880
7,-0.0967870,-0.0449980
8,-0.0449970,-0.0031850
9,-0.0031840,0.0287570
10,0.0287580,0.0585470
11,0.0585480,0.0858870
12,0.0858880,0.1085860
13,0.1085870,0.1299910
14,0.1299920,0.1546080
15,0.1546090,0.1839190
16,0.1839200,0.2221460
17,0.2221470,0.2614420
18,0.2614430,0.3143830
19,0.3143840,0.3899960
20,0.3899970,0.5360510
