Time,SROBurton_AVG_NHR,SROBurtonERROR_NHR,1SQFireAVG_NHR,1SQFireERROR_NHR,FireAVG_NHR,FireERROR_NHR,SROBurton_AVG_HRD,SROBurtonERROR_HRD,1SQFireAVG_HRD,1SQFireERROR_HRD,FireAVG_HRD,FireERROR_HRD
5,24,0.614636297,24.4,0.426874949,24.7,0.213437475,64.55401379,0.195110068,64.98249275,0.099404497,64.84392754,0.079308396
10,23.1,0.808977407,22.8,1.10352969,24.8,0.249443826,64.80386144,0.311923555,64.46363991,0.19752375,64.63396098,0.130267436
15,33.6,0.933333333,31.3,1.065103021,38.6,0.520683312,69.71916148,0.36622472,69.05804993,0.641357564,69.80291927,0.305896062
20,28.8,1.051982256,26.7,1.247664485,37.7,0.448454135,69.4303178,0.42630294,68.84290524,0.555717608,69.59887387,0.301507591
25,26.7,1.075484387,23.2,1.271918935,37.1,0.37859389,68.3156526,0.357978188,68.24754173,1.024256424,69.62484985,0.28607012
30,23,0.988826465,18.7,1.430229197,35.2,0.646357314,67.18510931,0.585742414,68.55904504,1.269606847,69.44348727,0.347663027
35,20.6,0.979795897,16.4,1.439135543,36.5,0.749073502,66.15147132,0.659539799,67.53487554,1.18471052,68.93040763,0.401115619
40,16.9,0.874960317,11.6,0.933333333,33.8,0.727247474,65.10961883,0.612069149,65.40063492,1.108513973,67.25704768,0.514970568
45,13.8,0.928559218,8.3,0.715697018,30.4,1.557776193,63.77686496,0.840444988,64.89519481,1.071111799,66.50271394,0.569300195
50,10.9,0.721880261,5.1,0.808977407,28.5,1.543804824,63.45661616,1.077992447,65.99404762,1.596195939,66.61036906,0.551429516
100,3.8,0.827311576,4.5,0.636832439,13.9,1.378001774,51.57222222,5.89660745,58.78083333,1.068011341,64.72695283,0.763650791
150,6.2,1.123486636,5,0.447213595,1.4,0.476095229,51.54776335,5.758209283,58.88714286,0.83985327,38.6,8.441810627
200,6.9,0.887568464,4,0.447213595,1.2,0.533333333,57.81486264,0.622491342,58.68880952,0.962079981,26.22,8.745764689
250,7.2,0.742368582,3.9,0.781024968,0.8,0.326598632,56.655,0.547639803,58.23333333,0.914036631,26.46666667,8.832767277
300,6.9,0.835995747,3.7,0.558768487,1.4,0.305505046,57.73686508,0.448538824,56.48833333,0.7532729,41.48333333,6.938105996
350,7.6,0.581186526,4.8,0.866666667,1.3,0.472581563,57.38215007,0.501378377,58.58642857,1.383556023,36.43,7.962161209
400,7.9,0.73711148,4.8,0.646357314,0.6,0.4,56.78338384,0.501852802,56.42095238,0.85678886,15.2,7.741375129
450,8,0.494413232,3.5,0.600925213,1.6,0.748331477,57.00210317,0.6044174,58.25666667,1.384758748,26.01309524,8.676317097
500,7,0.829993307,4.2,0.533333333,1.1,0.458257569,57.52169913,0.276271455,57.77333333,0.93453362,26.5,8.838677629
