"","CELL_ID","PC_Urban.PC1","PC_Urban.PC2","PC_Natural.PC1","PC_Natural.PC2","PC_Water.PC1","PC_Water.PC2","PC_Park.PC1","PC_Park.PC2","Urban_sitescores","Natural_sitescores","Water_Sitescores","Park_sitescores","PC_Habitat.PC1","PC_Habitat.PC2","Urban_sitescores.1","Natural_sitescores.1","Water_Sitescores.1","Park_sitescores.1","pdSTD","Logged","Logged.1"
"1",89500,1,3,8,19,7,7,2,4,1,8,7,2,18,0.935765646,1.016,9,11,0.7509422,9,9,1
"2",113432,3,10,18,7,7,8,12,6,3,18,7,12,18,5,20,18,11,12,42.00833649,1.633552645,2.633552645
"3",119654,2,7,3,7,7,7,4,13,2,3,7,4,4,0.76443225,0.6894,20,11,20,14.58677697,1.192756321,2.192756321
"4",120331,2,6,7,20,7,5,2,4,2,7,7,2,17,0.946898404,0.7101,10,11,0.7509422,3.61624194,0.664288562,1.664288562
"5",125757,10,5,12,20,7,3,6,5,10,12,7,6,15,12,10,12,11,14,1346.138609,3.129412283,4.129412283
"6",126436,13,10,8,0.554212748,7,4,12,11,13,8,7,12,7,6,13,10,11,12,1728.999723,3.238046034,4.238046034
"7",126447,0.028757279,16,15,9,0.883690376,18,12,6,10,15,0.88369,12,14,5,10,15,0.88369,12,9,9,1
"8",127112,12,8,14,19,7,3,17,7,12,14,7,17,11,4,12,14,11,17,791.7496174,2.899136041,3.899136041
"9",127116,17,5,12,20,7,3,8,7,17,12,7,8,13,8,17,12,11,9,4630.535969,3.665725041,4.665725041
"10",128479,8,18,5,5,1.014890311,3,9,10,8,5,1.01489,9,5,11,10,16,1.01489,9,2810.002368,3.448861211,4.448861211
"11",133250,5,6,12,10,7,20,8,7,5,12,7,8,12,8,16,12,11,9,634.7595997,2.803292927,3.803292927
"12",133257,15,6,18,7,7,8,14,7,15,18,7,14,18,4,15,18,11,14,292.7675582,2.468003833,3.468003833
"13",133259,15,10,18,7,0.663997449,8,7,5,15,18,0.663997,7,19,7,15,18,0.663997,10,1966.96783,3.294017995,4.294017995
"14",133899,12,5,15,18,0.765619833,4,12,7,12,15,0.76562,12,14,5,12,15,0.76562,12,450.0313845,2.654206763,3.654206763
"15",133940,9,19,18,7,7,8,10,5,9,18,7,10,18,5,9,18,11,10,963.831518,2.984451482,3.984451482
"16",135985,11,14,15,11,7,4,15,7,11,15,7,15,13,4,11,15,11,15,273.6830348,2.438831837,3.438831837
"17",135991,11,16,5,3,0.937944434,20,11,8,11,5,0.937944,11,5,8,11,17,0.937944,11,943.1029402,2.97501935,3.97501935
"18",136666,14,8,10,5,7,4,16,7,14,10,7,16,9,4,14,10,11,16,331.805246,2.522190163,3.522190163
"19",136671,6,0.617898538,11,18,7,6,14,5,6,11,7,14,11,5,14,11,11,14,458.9698449,2.662729361,3.662729361
"20",137302,6,4,13,19,7,3,16,8,6,13,7,16,10,4,13,13,11,16,30.53374297,1.498775523,2.498775523
"21",138039,10,11,4,3,16,20,6,0.538472799,10,4,16,6,4,19,10,18,16,14,277.8692046,2.445400558,3.445400558
