CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,3_zones,PC_Natural,pdSTD
89500,20084259,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-81.20998938,42.8124801,-1.016415663,1,0.057170613,0
113432,20111507,2011,Avian,Pigeons and Doves,AMPV-1,Viral,-80.42721416,43.09915284,-0.464411815,1,0.301482316,42.00833649
119654,20090105,2009,Mammalian,Large Carnivores,Sacrpotic Mites,Ecoparasitic,-79.39058352,43.12358219,-0.689406021,1,-0.334346963,14.58677697
120331,20071268,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.45254752,43.13578019,-0.710070038,1,0.301482316,3.61624194
125757,20084043,2008,Avian,Pigeons and Doves,Avian Pox,Viral,-79.81353735,43.23232122,0.042115582,2,0.119554807,1346.138609
126436,20084042,2008,Avian,Pigeons and Doves,AMPV-1,Viral,-79.8441892,43.23898735,0.112515979,3,0.168192305,1728.999723
126447,20080314,2008,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-79.70529483,43.23422954,0.028757279,2,0.301482316,0
127112,20110224,2011,Mammalian,Bats,Rabies,Viral,-79.91377889,43.25343681,0.100114291,3,0.301482316,791.7496174
127116,20080926,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.8660661,43.25003808,0.240937226,4,-0.092292281,4630.535969
128479,20075652,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.88513796,43.2679567,-0.040596686,2,-0.444045815,2810.002368
133250,20070775,2007,Avian,Pigeons and Doves,Nosocomial yeast,Bacterial,-79.90598111,43.33200492,-0.217797987,1,-0.21260616,634.7595997
133257,20110147,2011,Mammalian,Small Rodents and Moles,Baylisascaris spp. (aberrant),Nematode,-79.82614558,43.32901237,0.168541284,3,0.301482316,292.7675582
133259,20074192,2007,Avian,Waterfowl and Waders,Strongyles,Nematode,-79.79901917,43.32553,0.178433583,3,-0.289116846,1966.96783
133899,20074035,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-80.31441835,43.36162551,0.097596818,3,0.301482316,450.0313845
133940,20104354,2010,Avian,Pigeons and Doves,Circovirus,Viral,-79.81728125,43.33822032,0.017139118,2,0.162468941,963.831518
135985,20074482,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.82193901,43.36465755,0.079111789,3,-0.248169298,273.6830348
135991,20092953,2009,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.74438922,43.36038178,0.061528965,3,-0.361210567,943.1029402
136666,20072087,2007,Mammalian,Small Carnivores,Ticks,Ectoparasitic,-79.83632018,43.37512303,0.132171361,3,-0.307467486,331.805246
136671,20073820,2007,Avian,Pigeons and Doves,Lice,Ectoparasitic,-79.77020777,43.36750214,-0.135671973,2,-0.189117537,458.9698449
137302,20072929,2007,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-80.39324372,43.4120123,-0.109404858,2,-0.517917586,30.53374297
138039,20075461,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.71568934,43.38941942,0.055973872,3,-0.347962689,277.8692046
138722,20075379,2007,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-79.70809129,43.39380114,-0.105620658,2,-0.544955985,1952.094476
139399,20071441,2007,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.77371949,43.40735581,-0.642994245,1,-0.282125515,79.4766747
140023,20104679,2010,Mammalian,Bats,Rabies,Viral,-80.48612254,43.45136958,0.218774112,4,0.301482316,819.9881605
140086,20102284,2010,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-79.70622865,43.41078329,0.135514268,3,0.301482316,166.7011053
